product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
11368965,Combo Giáo Trình Chuẩn HSK 1 - Bài Học (Kèm 1 MP3) và Giáo Trình Chuẩn HSK 1 - Bài Tập (Kèm 1 MP3) ( Tặng Kèm Viết ),Khương Lệ Bình,356000,284800,2441.0,Sách Học Tiếng Hoa,485,5.0,280.0,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/36/1d/51/a0098ab3e0527543fdc4014966a396b3.jpg
167686691,"Sách Tổng Ôn Toán Học 12, Sách Ôn Thi THPT Quốc Gia Moon",Nhiều tác giả,200000,139000,986.0,Sách Luyện Thi Đại Học - Cao Đẳng,287,4.8,358.0,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/11/cb/99/eabd5f90765829aee8aa50bede3e03b7.jpg
92859698,Tâm Lý Học Biểu Cảm,Mã Hạo Thiên,98000,63001,6134.0,Sách tư duy - Kỹ năng sống,1332,5.0,252.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/0f/b5/c3/0fd8f6c4b9b8070d747465351a02a9b3.jpg
11371241,1Q84 (Tập 1) - Tái Bản,Haruki Murakami,138000,82800,991.0,Tiểu Thuyết,118,4.8,,,https://salt.tikicdn.com/ts/product/5f/ee/f3/6ee420477826d0917b482868dfe67f69.jpg
157317126,50cm Một Cuộc Đời [Boxset 3 Tập],Gin Shirakawa,90000,90000,808.0,Tranh Truyện,299,4.8,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/ae/61/42/93c4aa3fe123648bb455bbfb92749310.jpg
107707575,Kẻ Ái Kỉ Cô Độc - Đi Vào Thế Giới Ẩn Giấu Trong Trái Tim (The Narcissist You Know),Joseph Burgo PhD,135000,88000,230.0,Sách tư duy - Kỹ năng sống,34,5.0,404.0,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/f4/5a/83/458b025629f9f2860f7633f55f70d69c.jpg
193226972,Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng (Tập 1) - Tái Bản,Mishima Yomu,157000,110001,68.0,Light novel,26,4.8,516.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/43/0e/99/fc59900ec848367d602e565861160172.jpg
160488880,OKR - Từ Chiến Lược Mục Tiêu Đến Kết Quả Then Chốt,Masaru Amono,129000,92000,132.0,"Sách quản trị, lãnh đạo",13,4.8,204.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/6c/b5/7b/fd66adaa6a58ea1e796a71eb19a0cddb.jpg
6563565,10 vạn câu hỏi vì sao - trọn bộ 5 tập,Đức Anh,219000,157000,15471.0,Kiến thức - Bách khoa,1674,4.7,203.0,,https://salt.tikicdn.com/ts/product/63/3e/6d/cd60627a92eb68c66c88ad2210296975.jpg
160488838,Axit Và Kiềm Trong Thực Dưỡng (Tái Bản),Herman Aihara,75000,52500,724.0,Axit Và Kiềm Trong Thực Dưỡng (Tái Bản),81,5.0,214.0,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/5c/45/90/17dd600ff1ba2d4dfb2cb017766a7f32.jpg
52785564,Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,129000,77400,2904.0,Tác phẩm kinh điển,508,4.6,392.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/36/48/39/2ef073f6a40a268deb12ecc35a6b1145.jpg
76012201,Những Ngày Thơ Ấu (Việt Nam Danh Tác),Nguyên Hồng,75000,45000,631.0,Truyện ngắn - Tản văn - Tạp Văn,135,4.8,184.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/10/46/b1/25a5b8c0299dcf3ab0c6bfe65fca24e3.jpg
984938,Gã Nghiện Giày - Tự Truyện Của Nhà Sáng Lập NIKE,Phil Knight,160000,115000,8535.0,Sách doanh nhân,626,4.8,,,https://salt.tikicdn.com/media/catalog/product/g/a/ganghiengiay.u5430.d20171002.t100231.992728.jpg
190601858,Tạo lập kế hoạch kinh doanh for Dummies,Veechi Curtis,249000,174000,104.0,Bài học kinh doanh,10,5.0,504.0,Nhà Xuất Bản Công Thương,https://salt.tikicdn.com/ts/product/3c/d5/bc/fbea90d52fc7655a3b6763cef475d67e.jpg
200928947,Những Gì Đã Qua Đừng Nghĩ Lại Quá Nhiều,Minh Mẫn - Du Phong,98000,58000,181.0,Truyện ngắn - Tản văn - Tạp Văn,12,4.7,208.0,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/a2/cb/35/1a72e3df4fb6bdc5b76b240aeb80c9c8.jpg
166033489,Hoàng Tử Bé (Tái Bản 2022),Antoine De Saint-Exupéry,35000,30100,1142.0,Truyện kể cho bé,143,5.0,112.0,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/2b/fd/60/96a7a7b9b2a7fac4cc1600918c59b8cf.jpg
197588251,Tô Màu Phát Triển Não Bộ Cho Bé 1-5 Tuổi Tập 7,Phạm Ngọc Điệp,16000,9600,43.0,Tô màu - Luyện chữ  ,3,5.0,20.0,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/ec/15/0c/84a0bba19292c281e2b45f8b18a627f5.jpg
8011021,Tâm Lý Học Thành Công (Tái Bản),Carol S. Dweck,199000,129000,548.0,Sách tư duy - Kỹ năng sống,85,5.0,480.0,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/41/c8/23/86289a16b242a20ca172c0d9b9c7b978.jpg
59362963,Osho Đàn Ông - The Book Of Men,Osho,119000,83300,1315.0,Sách giáo dục,181,4.8,325.0,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/f8/52/e3/a9775f490ee377b8ce21200eb86219bf.jpg
27971953,Lược Sử Tôn Giáo,Richard Holloway,129000,77400,4438.0,Lược Sử Tôn Giáo,579,4.7,308.0,,https://salt.tikicdn.com/ts/product/5c/69/27/5a19171b7de6d9b6b2c4ecbf9c005f19.jpg
202895290,Chuyện Con Ốc Sên Muốn Biết Tại Sao Nó Chậm Chạp,Neil Gaiman,45000,27000,22.0,Sách tư duy - Kỹ năng sống,0,0.0,83.0,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/f1/45/6a/ef4bde8959c84e5e968fed3a8b93c431.jpg
