column_name,value
category,"['Sách kỹ năng làm việc', 'Truyện ngắn - Tản văn - Tạp Văn', 'Black Jack - Tập 13 (Bìa Cứng)', 'Sự Trung Thực Của Xác Chết – Ghi Chép Của Một Nhà Pháp Y', 'Sách tư duy - Kỹ năng sống', 'Lĩnh vực khác', 'Sách Học Tiếng Anh', 'Bài học kinh doanh', 'Tiểu Thuyết', 'Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 1', 'Sách tài chính, tiền tệ', 'Sách Học Tiếng Hoa', 'Truyện trinh thám', 'Truyện Giả tưởng - Huyền Bí - Phiêu Lưu', 'Sách Tô Màu Dành Cho Người Lớn', 'Sách quản trị, lãnh đạo', 'Sách Marketing - Bán hàng ', 'Dragon Ball Full Color - Phần Năm: Truy Lùng Cell Bọ Hung - Tập 6', 'Anh Em Phi Hành Gia - Tập 33', 'Văn học thiếu nhi', 'Sách nghệ thuật sống đẹp', 'Triết Học', 'Vẽ Vời Vẩn Vơ - 5', 'Lịch Sử Thế Giới', 'Sách kinh tế học', 'Mỹ Thuật - Kiến Trúc', 'Tiểu sử - Hồi ký', 'Sách giáo dục', 'Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 5', 'Thơ', 'Truyện dài', 'Doraemon Movie Story: Nobita Và Viện Bảo Tàng Bảo Bối', 'Ngoại Ngữ Khác', 'Gửi em, người bất tử - Tập 12', '666 Satan - Tập 1', 'Sách Tâm Lý Tuổi Teen', 'Tô màu - Luyện chữ  ', 'Light novel', 'Tác phẩm kinh điển', 'Truyện tranh Ehon', 'Muốn An Được An (Tái bản 2021)', 'Sách Phong Tục - Tập Quán', 'Muôn Kiếp Nhân Sinh (Khổ Nhỏ)', 'Gửi Em, Người Bất Tử - Tập 16', 'Black Jack - Tập 13 (Bìa Mềm)', 'Sách Địa Danh - Du Lịch', 'Dưới Hiên Nhà Bà Già Đọc Boyslove - 5', 'Lớp Học Rùng Rợn - Tập 2', 'How The Body Works - Hiểu Hết Về Cơ Thể', 'Kiến thức - Bách khoa', 'Truyện kể cho bé', 'Sách Chiêm Tinh - Horoscope', 'Atlas Giải Phẫu Cơ Thể Người', 'Sách Danh Nhân', 'One Piece - Tập 98: “Phút Huy Hoàng Của Những Trung Thần”', 'Mỹ Vị Hầm Ngục - 4', 'Truyện đam mỹ', 'Blue Period - Tập 07', 'Doraemon Movie Story: Nobita Và Cuộc Đại Thủy Chiến Sở Xứ Sở Người Cá (Tái Bản 2022)', 'Sói Đầu Đàn Và Cún Nhỏ - Tập 2', 'Nước Ép Trị Liệu Và Chế Độ Ăn Theo Phương Pháp Cơ Thể Tự Chữa Lành', 'Gửi Em, Người Bất Tử - Tập 6 (Tái Bản 2022)', 'Black Jack Tập 15 (Bìa Cứng)', 'Truyện cổ tích', 'Ikigami - Tập 10', 'Muôn Kiếp Nhân Sinh (Bìa Cứng)', 'Kiến Thức Bách Khoa', 'Vua Sáng Chế - Tập 20', 'GIẬN (TBL22)', 'Sách Học Tiếng Hàn', 'Giáo Trình Đại Học - Cao Đẳng', 'Nghệ Thuật Thiết Lập Truyền Thông (TBL3)', 'Phòng Thiết Kế Khai Thiên Lập Địa – Tập 1 [Tặng Bookmark + Sticker]', 'Truyện cười', 'Sách Luyện Thi Đại Học - Cao Đẳng', 'Tranh Truyện', 'Axit Và Kiềm Trong Thực Dưỡng (Tái Bản)', 'Sách doanh nhân', 'Lược Sử Tôn Giáo', 'Sách khởi nghiệp', 'Blue Flag - Tập 4', 'Nhân Duyên Tiền Kiếp', 'Cuộc Chiến Tỏ Tình Tập 4 [Tặng Kèm 1 Trong 2 Mẫu Thẻ Học Sinh]', 'Sách Làm Đẹp', '666 Satan Tập 4 [Tặng Kèm Bookmark Nhân Vật]', 'Yu-Gi-Oh! Gx Tập 3: Vòng Bảng Kết Thúc!! [Tặng Kèm Bookmark PVC]', 'Truyện tranh thiếu nhi', '3x3 Eyes - Cô Bé Ba Mắt - Tập 02', 'Anh Em Phi Hành Gia - Tập 36', 'Nhóc Miko! Cô Bé Nhí Nhảnh 34', 'Sách tài chính, kế toán', 'Grimgar - Ảo Ảnh Và Tro Tàn Level.14 - [Parano_Mania]', 'Thiền Sư Và Em Bé 5 Tuổi', 'Lớp Học Rùng Rợn - Tập 3', 'Tạp chí Đẹp T09-10/2022 (số 269)', 'Migi & Dali - Tập 4', 'Sách Làm Cha Mẹ', 'Sách Nấu ăn', 'Ung Thư Không Phải Là Bệnh, Mà Là Cơ Chế Chữa Lành', 'Thần Số Học - Làm Chủ Cuộc Đời', 'Sữa tiệt trùng (UHT)', 'Shaman King - Tập 20', 'Kéo Giãn Cơ Thể', 'Truyện ngôn tình', 'Thám Tử Lừng Danh Conan - Tập 100 - Bìa Gập - Tặng Kèm Postcard Vuông Conan 100', 'Kinh A Di Đà (Tái bản 2022)', 'Tokyo Revengers - Tập 5', 'Kaguya-Sama: Cuộc Chiến Tỏ Tình - Tập 2', 'Khi Bàn Chân Chạm Vào Đất Mẹ', 'Luật - Văn Bản Luật', 'Sách hướng nghiệp - Kỹ năng mềm', 'Sách Phong Thủy - Kinh Dịch', 'Gửi Em, Người Bất Tử - Tập 15', '""Cậu"" Ma Nhà Xí Hanako - Tập 0', 'Combo Spy x Family (7 tập)', 'Black Jack - Tập 14 (Bìa Cứng)', 'Lý Luận Chính Trị', 'Kỳ Án Siêu Nhiên - Tập 02']"
manufacturer,"['Nhà Xuất Bản Công Thương', 'NXB Trẻ', 'Nhà Xuất Bản Thế Giới', 'Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân', 'Nhà Xuất Bản Lao Động', 'Nhà Xuất Bản Hội Nhà Văn', 'Nhà Xuất Bản Kim Đồng', 'Nhà Xuất Bản Hà Nội', 'Nhà Xuất Bản Văn Học', 'Nhà Xuất Bản Dân Trí', 'Nhà Xuất Bản Phụ Nữ', 'Nhà Xuất Bản Tổng hợp TP.HCM', 'Nhà Xuất Bản Hồng Đức', 'Nhà Xuất Bản Tri Thức', 'Nhà Xuất Bản Thanh Niên', 'Nhà Xuất Bản Lao Động Xã Hội', 'Nhà Xuất Bản Phụ Nữ Việt Nam', 'Nhà Xuất Bản Đà Nẵng', 'Nhà Xuất Bản Hồng Đức - Hội Luật Gia Việt Nam', 'Nhà Xuất Bản Tài Chính', 'hong duc', 'NXB Dân Trí', 'Nhà Xuất Bản Mỹ Thuật', 'Nhiều Nhà Xuất Bản', 'Nhà Xuất Bản Kinh Tế TPHCM', 'Nhà Xuất Bản Khoa Học Xã Hội', 'Nhà Xuất Bản Đại Học Quốc Gia Hà Nội', 'Nhà Xuất Bản Thông Tấn', 'Nhà Xuất Bản Tôn Giáo', 'Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật']"
